Time (s),PHI2,R_W,D0,A0
-0.0016383,1,0,0,0
-0.0016382,1,0,0,0
-0.0016381,0,0,0,0
-0.001638,0,0,0,1
-0.0016379,0,1,0,1
-0.0016378,0,1,0,1
-0.0016377,0,1,1,1
-0.0016376,0,1,1,1
-0.0016375,1,1,0,1
-0.0016374,1,1,1,1
-0.0016373,1,1,1,1
-0.0016372,1,1,1,1
-0.0016371,0,1,1,1
-0.001637,0,1,0,1
-0.0016369,0,1,0,1
-0.0016368,0,1,1,1
-0.0016367,0,1,1,1
-0.0016366,1,1,1,1
-0.0016365,1,1,0,0
-0.0016364,1,1,0,0
-0.0016363,1,1,0,0
-0.0016362,1,1,0,0
-0.0016361,0,1,0,1
-0.001636,0,1,0,1
-0.0016359,0,1,0,1
-0.0016358,0,1,1,1
-0.0016357,0,1,1,1
-0.0016356,1,1,1,1
-0.0016355,1,1,0,1
-0.0016354,1,1,0,1
-0.0016353,1,1,0,1
-0.0016352,1,1,0,1
-0.0016351,0,1,0,1
-0.001635,0,1,0,1
-0.0016349,0,1,0,1
-0.0016348,0,1,1,1
-0.0016347,0,1,1,1
-0.0016346,1,0,0,0
-0.0016345,1,0,0,0
-0.0016344,1,0,0,0
-0.0016343,1,0,0,0
-0.0016342,1,0,0,0
-0.0016341,0,0,0,1
-0.001634,0,1,0,1
-0.0016339,0,1,0,1
-0.0016338,0,1,1,1
-0.0016337,0,1,1,1
-0.0016336,1,1,1,0
-0.0016335,1,1,0,0
-0.0016334,1,1,0,0
-0.0016333,1,1,0,0
-0.0016332,0,1,0,0
-0.0016331,0,1,0,1
-0.001633,0,1,0,1
-0.0016329,0,1,1,1
-0.0016328,0,1,1,1
-0.0016327,0,1,1,1
-0.0016326,1,1,0,1
-0.0016325,1,1,1,1
-0.0016324,1,1,1,1
-0.0016323,1,1,1,1
-0.0016322,0,1,1,1
-0.0016321,0,1,0,1
-0.001632,0,1,0,1
-0.0016319,0,1,1,1
-0.0016318,0,1,1,1
-0.0016317,1,1,1,0
-0.0016316,1,1,0,0
-0.0016315,1,1,0,0
-0.0016314,1,1,0,0
-0.0016313,1,1,0,0
-0.0016312,0,1,0,1
-0.0016311,0,1,0,1
-0.001631,0,1,0,1
-0.0016309,0,1,1,1
-0.0016308,0,1,1,1
-0.0016307,1,1,1,1
-0.0016306,1,1,1,1
-0.0016305,1,1,1,1
-0.0016304,1,1,1,1
-0.0016303,1,1,1,1
-0.0016302,0,1,0,1
-0.0016301,0,1,0,1
-0.00163,0,1,0,1
-0.0016299,0,1,1,1
-0.0016298,0,1,1,1
-0.0016297,1,1,1,0
-0.0016296,1,1,0,0
-0.0016295,1,1,0,0
-0.0016294,1,1,0,0
-0.0016293,0,1,0,0
-0.0016292,0,1,0,1
-0.0016291,0,1,0,1
-0.001629,0,1,0,1
-0.0016289,0,1,1,1
-0.0016288,0,1,1,1
-0.0016287,1,1,1,0
-0.0016286,1,1,1,0
-0.0016285,1,1,0,0
-0.0016284,1,1,0,0
-0.0016283,0,1,0,0
-0.0016282,0,1,0,1
-0.0016281,0,1,0,1
-0.001628,0,1,1,1
-0.0016279,0,1,1,1
-0.0016278,1,1,1,1
-0.0016277,1,1,1,1
-0.0016276,1,1,1,1
-0.0016275,1,1,1,1
-0.0016274,1,1,1,1
-0.0016273,0,1,1,1
-0.0016272,0,1,0,1
-0.0016271,0,1,0,1
-0.001627,0,1,1,1
-0.0016269,0,1,1,1
